Symbol,Name,Price (Intraday),Change,% Change,Market Cap,Volume in Currency (Since 0:00 UTC),Volume in Currency (24Hr),Total Volume All Currencies (24Hr),Circulating Supply,52 Week Range,Day Chart
BTC-USD,Bitcoin USD,"51,558.48",+857.00,+1.69%,1012.0,15.428,15.428B,15.428B,19.637M,,
ETH-USD,Ethereum USD,"2,987.17",+72.53,+2.49%,358.927,10.682,10.682B,10.682B,120.157M,,
USDT-USD,Tether USDt USD,1.0001,+0.0002,+0.02%,97.917,34.439,34.439B,34.439B,97.911B,,
BNB-USD,BNB USD,381.78,+7.95,+2.13%,57.088,1.095,1.095B,1.095B,149.533M,,
SOL-USD,Solana USD,104.19,+4.82,+4.85%,45.957,1.109,1.109B,1.109B,441.083M,,
XRP-USD,XRP USD,0.545404,+0.012674,+2.38%,29.776,0.722661,722.661M,722.661M,54.594B,,
STETH-USD,Lido Staked ETH USD,"2,985.61",+65.11,+2.23%,29.273,0.02011,20.11M,20.11M,9.805M,,
USDC-USD,USD Coin USD,1.0001,+0.0001,+0.01%,28.145,3.143,3.143B,3.143B,28.142B,,
ADA-USD,Cardano USD,0.594874,+0.013250,+2.28%,21.1,0.39459,394.59M,394.59M,35.47B,,
AVAX-USD,Avalanche USD,36.74,+1.02,+2.86%,13.859,0.35013799999999995,350.138M,350.138M,377.175M,,
DOGE-USD,Dogecoin USD,0.086039,+0.001858,+2.21%,12.322,0.332609,332.609M,332.609M,143.21B,,
TRX-USD,TRON USD,0.137534,-0.000567,-0.41%,12.105,0.215814,215.814M,215.814M,88.012B,,
WTRX-USD,Wrapped TRON USD,0.137146,-0.001251,-0.90%,12.071,756.0,"756,208","756,208",88.012B,,
LINK-USD,Chainlink USD,18.49,+0.63,+3.52%,10.854,0.277955,277.955M,277.955M,587.1M,,
DOT-USD,Polkadot USD,7.8229,+0.3112,+4.14%,10.036,0.237177,237.177M,237.177M,1.283B,,
MATIC-USD,Polygon USD,0.994551,+0.010672,+1.08%,9.566,0.426548,426.548M,426.548M,9.618B,,
WBTC-USD,Wrapped Bitcoin USD,"51,566.26",+757.95,+1.49%,8.099,0.125657,125.657M,125.657M,"157,061",,
TON11419-USD,Toncoin USD,2.1150,+0.0333,+1.60%,7.334,0.032411,32.411M,32.411M,3.467B,,
UNI7083-USD,Uniswap USD,11.23,+0.18,+1.67%,6.716,1.403,1.403B,1.403B,598.187M,,
ICP-USD,Internet Computer USD,12.56,+0.25,+2.07%,5.769,0.098744,98.744M,98.744M,459.376M,,
SHIB-USD,Shiba Inu USD,0.00000963,+0.00000016,+1.73%,5.677,0.12347499999999999,123.475M,123.475M,589.29T,,
DAI-USD,Dai USD,1.0002,+0.0003,+0.03%,5.349,0.109121,109.121M,109.121M,5.348B,,
BCH-USD,Bitcoin Cash USD,267.35,+3.46,+1.31%,5.254,0.161168,161.168M,161.168M,19.651M,,
LTC-USD,Litecoin USD,70.44,+1.82,+2.65%,5.23,0.244346,244.346M,244.346M,74.242M,,
IMX10603-USD,Immutable USD,3.0798,+0.0515,+1.70%,4.279,0.087897,87.897M,87.897M,1.389B,,
BTC-USD,Bitcoin USD,"51,558.48",+857.00,+1.69%,1012.0,15.428,15.428B,15.428B,19.637M,,
ETH-USD,Ethereum USD,"2,987.17",+72.53,+2.49%,358.927,10.682,10.682B,10.682B,120.157M,,
USDT-USD,Tether USDt USD,1.0001,+0.0002,+0.02%,97.917,34.439,34.439B,34.439B,97.911B,,
BNB-USD,BNB USD,381.78,+7.95,+2.13%,57.088,1.095,1.095B,1.095B,149.533M,,
SOL-USD,Solana USD,104.19,+4.82,+4.85%,45.957,1.109,1.109B,1.109B,441.083M,,
XRP-USD,XRP USD,0.545404,+0.012674,+2.38%,29.776,0.722661,722.661M,722.661M,54.594B,,
STETH-USD,Lido Staked ETH USD,"2,985.61",+65.11,+2.23%,29.273,0.02011,20.11M,20.11M,9.805M,,
USDC-USD,USD Coin USD,1.0001,+0.0001,+0.01%,28.145,3.143,3.143B,3.143B,28.142B,,
ADA-USD,Cardano USD,0.594874,+0.013250,+2.28%,21.1,0.39459,394.59M,394.59M,35.47B,,
AVAX-USD,Avalanche USD,36.74,+1.02,+2.86%,13.859,0.35013799999999995,350.138M,350.138M,377.175M,,
DOGE-USD,Dogecoin USD,0.086039,+0.001858,+2.21%,12.322,0.332609,332.609M,332.609M,143.21B,,
TRX-USD,TRON USD,0.137534,-0.000567,-0.41%,12.105,0.215814,215.814M,215.814M,88.012B,,
WTRX-USD,Wrapped TRON USD,0.137146,-0.001251,-0.90%,12.071,756.0,"756,208","756,208",88.012B,,
LINK-USD,Chainlink USD,18.49,+0.63,+3.52%,10.854,0.277955,277.955M,277.955M,587.1M,,
DOT-USD,Polkadot USD,7.8229,+0.3112,+4.14%,10.036,0.237177,237.177M,237.177M,1.283B,,
